datum,region,proizvod,kolicina,cena
2024-02-21,Niš,Jaja,57,2.68
2024-02-21,Niš,Jogurt,27,4.29
2024-02-22,Beograd,Hleb,83,1.69
2024-02-22,Beograd,Mleko,78,1.11
2024-02-22,Beograd,Sir,30,3.57
2024-02-22,Beograd,Jaja,12,2.47
2024-02-22,Beograd,Jogurt,71,2.43
2024-02-22,Novi Sad,Hleb,11,2.9
2024-02-22,Novi Sad,Mleko,51,2.74
2024-02-22,Novi Sad,Sir,51,3.86
2024-02-22,Novi Sad,Jaja,77,1.59
2024-02-22,Novi Sad,Jogurt,84,3.3
2024-02-22,Niš,Hleb,56,3.12
2024-02-22,Niš,Mleko,58,1.84
2024-02-22,Niš,Sir,43,4.18
2024-02-22,Niš,Jaja,27,4.27
2024-02-22,Niš,Jogurt,87,2.29
2024-02-23,Beograd,Hleb,69,2.74
2024-02-23,Beograd,Mleko,51,3.99
2024-02-23,Beograd,Sir,81,1.95
2024-02-23,Beograd,Jaja,62,1.93
2024-02-23,Beograd,Jogurt,14,1.11
2024-02-23,Novi Sad,Hleb,71,1.27
2024-02-23,Novi Sad,Mleko,29,1.7
2024-02-23,Novi Sad,Sir,99,3.07
2024-02-23,Novi Sad,Jaja,57,2.97
2024-02-23,Novi Sad,Jogurt,57,1.17
2024-02-23,Niš,Hleb,82,2.43
2024-02-23,Niš,Mleko,35,3.37
2024-02-23,Niš,Sir,43,2.61
2024-02-23,Niš,Jaja,22,1.0
2024-02-23,Niš,Jogurt,86,4.44
2024-02-24,Beograd,Hleb,56,2.64
2024-02-24,Beograd,Mleko,72,4.27
2024-02-24,Beograd,Sir,37,2.68
2024-02-24,Beograd,Jaja,15,1.33
2024-02-24,Beograd,Jogurt,21,2.88
2024-02-24,Novi Sad,Hleb,57,3.37
2024-02-24,Novi Sad,Mleko,83,4.31
2024-02-24,Novi Sad,Sir,80,1.44
2024-02-24,Novi Sad,Jaja,87,4.26
2024-02-24,Novi Sad,Jogurt,76,3.4
2024-02-24,Niš,Hleb,28,2.31
2024-02-24,Niš,Mleko,63,4.18
2024-02-24,Niš,Sir,42,1.23
2024-02-24,Niš,Jaja,60,1.08
2024-02-24,Niš,Jogurt,33,2.58
2024-02-25,Beograd,Hleb,79,3.96
2024-02-25,Beograd,Mleko,53,1.33
2024-02-25,Beograd,Sir,77,2.86
2024-02-25,Beograd,Jaja,65,3.88
2024-02-25,Beograd,Jogurt,28,2.76
2024-02-25,Novi Sad,Hleb,20,4.12
2024-02-25,Novi Sad,Mleko,21,1.9
2024-02-25,Novi Sad,Sir,34,2.67
2024-02-25,Novi Sad,Jaja,12,3.65
2024-02-25,Novi Sad,Jogurt,32,2.59
2024-02-25,Niš,Hleb,51,3.79
2024-02-25,Niš,Mleko,49,1.07
2024-02-25,Niš,Sir,20,2.19
2024-02-25,Niš,Jaja,36,3.41
2024-02-25,Niš,Jogurt,22,3.94
2024-02-26,Beograd,Hleb,56,3.46
2024-02-26,Beograd,Mleko,30,1.83
2024-02-26,Beograd,Sir,40,2.71
2024-02-26,Beograd,Jaja,46,1.7
2024-02-26,Beograd,Jogurt,98,3.91
2024-02-26,Novi Sad,Hleb,69,3.22
2024-02-26,Novi Sad,Mleko,38,3.7
2024-02-26,Novi Sad,Sir,99,1.85
2024-02-26,Novi Sad,Jaja,92,4.46
2024-02-26,Novi Sad,Jogurt,96,3.7
2024-02-26,Niš,Hleb,68,3.41
2024-02-26,Niš,Mleko,88,1.63
2024-02-26,Niš,Sir,26,1.16
2024-02-26,Niš,Jaja,20,2.98
2024-02-26,Niš,Jogurt,78,1.51
2024-02-27,Beograd,Hleb,23,1.77
2024-02-27,Beograd,Mleko,81,2.83
2024-02-27,Beograd,Sir,25,2.33
2024-02-27,Beograd,Jaja,65,2.18
2024-02-27,Beograd,Jogurt,57,2.89
2024-02-27,Novi Sad,Hleb,45,1.28
2024-02-27,Novi Sad,Mleko,47,3.89
2024-02-27,Novi Sad,Sir,71,1.31
2024-02-27,Novi Sad,Jaja,19,3.94
2024-02-27,Novi Sad,Jogurt,38,3.14
2024-02-27,Niš,Hleb,53,2.64
2024-02-27,Niš,Mleko,22,2.92
2024-02-27,Niš,Sir,91,3.01
2024-02-27,Niš,Jaja,89,4.32
2024-02-27,Niš,Jogurt,66,3.2
2024-02-28,Beograd,Hleb,79,3.8
2024-02-28,Beograd,Mleko,57,1.31
2024-02-28,Beograd,Sir,42,1.93
2024-02-28,Beograd,Jaja,40,1.91
2024-02-28,Beograd,Jogurt,81,1.22
2024-02-28,Novi Sad,Hleb,71,1.49
2024-02-28,Novi Sad,Mleko,35,2.73
2024-02-28,Novi Sad,Sir,31,1.58
2024-02-28,Novi Sad,Jaja,77,1.93
2024-02-28,Novi Sad,Jogurt,47,3.49
2024-02-28,Niš,Hleb,10,2.29
2024-02-28,Niš,Mleko,61,3.11
2024-02-28,Niš,Sir,65,3.75
2024-02-28,Niš,Jaja,17,3.27
2024-02-28,Niš,Jogurt,36,1.87
2024-02-29,Beograd,Hleb,95,2.75
2024-02-29,Beograd,Mleko,14,2.5
2024-02-29,Beograd,Sir,90,4.42
2024-02-29,Beograd,Jaja,16,1.62
2024-02-29,Beograd,Jogurt,47,3.83
2024-02-29,Novi Sad,Hleb,56,3.68
2024-02-29,Novi Sad,Mleko,52,2.86
2024-02-29,Novi Sad,Sir,66,2.29
2024-02-29,Novi Sad,Jaja,69,4.42
2024-02-29,Novi Sad,Jogurt,11,3.43
2024-02-29,Niš,Hleb,52,3.36
2024-02-29,Niš,Mleko,68,3.95
2024-02-29,Niš,Sir,12,1.2
2024-02-29,Niš,Jaja,52,3.11
2024-02-29,Niš,Jogurt,10,2.14
2024-03-01,Beograd,Hleb,25,2.42
2024-03-01,Beograd,Mleko,84,2.22
2024-03-01,Beograd,Sir,64,1.71
2024-03-01,Beograd,Jaja,37,3.47
2024-03-01,Beograd,Jogurt,82,3.92
2024-03-01,Novi Sad,Hleb,31,3.99
2024-03-01,Novi Sad,Mleko,58,1.66
2024-03-01,Novi Sad,Sir,48,3.91
2024-03-01,Novi Sad,Jaja,47,3.48
2024-03-01,Novi Sad,Jogurt,33,2.0
2024-03-01,Niš,Hleb,92,3.81
2024-03-01,Niš,Mleko,75,3.82
2024-03-01,Niš,Sir,41,3.15
2024-03-01,Niš,Jaja,57,3.21
2024-03-01,Niš,Jogurt,51,1.18
